patch_id,icd10_regex,sex_restriction,age_start,age_end,handling_type,replacement_rule_id,split_target_concept_ids,fallback_target_weights,dynamic_weight_strategy,handling_label,handling_note,method_source,active
C55_FEMALE_SPLIT,"^(C55[0-9]?)([A-Z0-9].*)?$",female,,,dynamic_year_split,,"9000710,9000720","0.9489,0.0511",uterine_cancer_specified_female_by_year,"C55 en mujer redistribuido prorrata a cuello y cuerpo uterino","OMS GHE nota d: C55 (útero, parte no especificada) se redistribuye prorrata a cáncer de cuello uterino y cáncer de cuerpo uterino. Implementación local: proporción anual observada entre C53 y C54 en mujeres; fallback a proporción global femenina observada si un año no tuviera base.","OMS_GHE_note_d + observed_project_year_female_specified_share",1
C55_MALE_INCOMPATIBLE,"^(C55[0-9]?)([A-Z0-9].*)?$",male,,,replace_with_rule,5,,,,"C55 en varón tratado como cáncer inespecífico para redistribución","Código anatómicamente incompatible con sexo masculino. No se corrige el sexo observado; la causa directa se considera no confiable y se envía al pool de cánceres no especificados para redistribución.","direct_demographic_incompatibility_specific_icd",1
